,city,state,status,lastUpdated,totalAvailable,pctAvailable,queryTime
0,ABINGTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
1,ACTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
2,AGAWAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
3,ALLSTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
4,AMESBURY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
5,AMHERST,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
6,ANDOVER,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
7,ARLINGTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
8,ASHLAND,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
9,ATHOL,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
10,ATTLEBORO,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
11,AUBURN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
12,BEDFORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
13,BELCHERTOWN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
14,BELLINGHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
15,BELMONT,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
16,BEVERLY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
17,BILLERICA,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
18,BOSTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
19,BOURNE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
20,BRAINTREE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
21,BRIDGEWATER,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
22,BRIGHTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
23,BROCKTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
24,BROOKLINE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
25,BURLINGTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
26,CAMBRIDGE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
27,CANTON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
28,CARVER,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
29,CHARLTON CITY,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
30,CHATHAM,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
31,CHELMSFORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
32,CHELSEA,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
33,CHESTNUT HILL,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
34,CHICOPEE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
35,CLINTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
36,COHASSET,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
37,CONCORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
38,DANVERS,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
39,DEDHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
40,DORCHESTER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
41,DRACUT,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
42,EAST BOSTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
43,EAST BRIDGEWATER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
44,EAST FALMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
45,EAST LONGMEADOW,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
46,EAST WAREHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
47,EASTHAMPTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
48,EVERETT,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
49,FAIRHAVEN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
50,FALL RIVER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
51,FALMOUTH,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
52,FITCHBURG,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
53,FOXBOROUGH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
54,FRAMINGHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
55,FRANKLIN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
56,GARDNER,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
57,GEORGETOWN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
58,GLOUCESTER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
59,GRANBY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
60,GREAT BARRINGTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
61,GREENFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
62,GROTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
63,HADLEY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
64,HANOVER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
